date,day_of_week,month,is_weekend,is_holiday,reservation_status,reserved_visitors,reservation_count,visitors
2016-01-02,Saturday,1,1,1,No advance reservations,0,0,6
2016-01-03,Sunday,1,1,1,Reservations recorded,4,1,65
2016-01-04,Monday,1,0,0,No advance reservations,0,0,91
2016-01-07,Thursday,1,0,0,Reservations recorded,5,1,7
2016-01-09,Saturday,1,1,0,Reservations recorded,20,5,70
2016-01-10,Sunday,1,1,0,Reservations recorded,9,3,29
2016-01-11,Monday,1,0,1,No advance reservations,0,0,4
2016-01-13,Wednesday,1,0,0,Reservations recorded,3,1,9
2016-01-14,Thursday,1,0,0,Reservations recorded,4,1,15
2016-01-15,Friday,1,0,0,Reservations recorded,5,1,22
2016-01-16,Saturday,1,1,0,Reservations recorded,45,6,53
2016-01-17,Sunday,1,1,0,Reservations recorded,7,3,30
2016-01-18,Monday,1,0,0,Reservations recorded,13,4,22
2016-01-20,Wednesday,1,0,0,Reservations recorded,3,1,36
2016-01-21,Thursday,1,0,0,Reservations recorded,15,4,23
2016-01-22,Friday,1,0,0,Reservations recorded,7,3,17
2016-01-24,Sunday,1,1,0,Reservations recorded,18,5,109
2016-01-25,Monday,1,0,0,Reservations recorded,3,1,10
2016-01-26,Tuesday,1,0,0,Reservations recorded,42,1,42
2016-01-29,Friday,1,0,0,Reservations recorded,27,6,51
2016-01-30,Saturday,1,1,0,Reservations recorded,31,8,53
2016-01-31,Sunday,1,1,0,Reservations recorded,5,2,35
2016-02-01,Monday,2,0,0,Reservations recorded,14,3,22
2016-02-02,Tuesday,2,0,0,Reservations recorded,2,1,11
2016-02-03,Wednesday,2,0,0,Reservations recorded,3,1,7
2016-02-04,Thursday,2,0,0,Reservations recorded,6,1,9
2016-02-05,Friday,2,0,0,Reservations recorded,7,3,17
2016-02-06,Saturday,2,1,0,Reservations recorded,17,5,54
2016-02-07,Sunday,2,1,0,Reservations recorded,11,3,20
2016-02-08,Monday,2,0,0,Reservations recorded,18,2,26
2016-02-09,Tuesday,2,0,0,Reservations recorded,5,1,3
2016-02-10,Wednesday,2,0,0,Reservations recorded,15,3,28
2016-02-11,Thursday,2,0,1,Reservations recorded,18,3,35
2016-02-12,Friday,2,0,0,Reservations recorded,18,5,26
2016-02-13,Saturday,2,1,0,Reservations recorded,22,6,31
2016-02-15,Monday,2,0,0,Reservations recorded,5,2,14
2016-02-16,Tuesday,2,0,0,Reservations recorded,23,2,8
2016-02-17,Wednesday,2,0,0,Reservations recorded,38,7,64
2016-02-18,Thursday,2,0,0,Reservations recorded,2,1,5
2016-02-19,Friday,2,0,0,Reservations recorded,35,4,48
2016-02-20,Saturday,2,1,0,Reservations recorded,35,9,39
2016-02-21,Sunday,2,1,0,Reservations recorded,35,3,44
2016-02-22,Monday,2,0,0,Reservations recorded,9,2,22
2016-02-23,Tuesday,2,0,0,Reservations recorded,4,1,16
2016-02-24,Wednesday,2,0,0,Reservations recorded,33,6,53
2016-02-25,Thursday,2,0,0,Reservations recorded,6,2,21
2016-02-26,Friday,2,0,0,Reservations recorded,25,6,44
2016-02-27,Saturday,2,1,0,Reservations recorded,49,7,72
2016-02-28,Sunday,2,1,0,Reservations recorded,12,2,39
